Age,Urban,Urban_pop,Rural,Rural_pop,Phnom Penh,Phnom_Penh_pop,Urban_pop_exclude_pp,Urban (exclude PP)
 0 - 4 years,0.077,242258,0.091,1049264,0.1028857,173676,0.047033086,68582
 5 - 9 years,0.083,261136,0.103,1187629,0.07740242,130659,0.089480271,130477
 10 - 14 yrs,0.083,261136,0.11,1268342,0.07995685,134971,0.08652313,126165
 15 - 19 yrs,0.0915,287878,0.109,1256811,0.092099869,155469,0.090805224,132409
 20 - 24 yrs,0.116,364961,0.109,1256811,0.117529241,198395,0.114229871,166566
 25 - 29 yrs,0.0985,309902,0.084,968552,0.111546591,188296,0.083396598,121606
 30 - 34 yrs,0.0975,306756,0.078,899369,0.114329095,192993,0.07801792,113763
 35 - 39 yrs,0.0545,171469,0.047,541928,0.053519805,90344,0.055634993,81125
 40 - 44 yrs,0.0675,212369,0.0525,605345,0.065958432,111341,0.06928434,101028
 45 - 49 yrs,0.0555,174615,0.0515,593814,0.052069609,87896,0.059471322,86719
 50 - 54 yrs,0.051,160457,0.046,530397,0.050124759,84613,0.052013318,75844
 55 - 59 yrs,0.04,125849,0.033,380502,0.042199037,71234,0.037454609,54615
 60 - 64 yrs,0.031,97533,0.028,322851,0.03075031,51908,0.031289326,45625
 65 - 69 yrs,0.021,66070,0.021,242138,0.018655868,31492,0.023713366,34578
 70 - 74 yrs,0.016,50339,0.017,196016,0.012856862,21703,0.019638381,28636
 75+,0.017,53486,0.02,230608,0.013032805,22000,0.021592892,31486
