Age,BM_male,BM_prop_male,BM_female,BM_female_prop,BM_total,BM_total_prop,B_male,B_prop_male,B_female,B_female_prop,B_total,B_total_prop,K_Cham_male,K_Cham_prop_male,K_Cham_female,K_Cham_female_prop,K_Cham_total,K_Cham_total_prop,K_Chhnang_male,K_Chhnang_prop_male,K_Chhnang_female,K_Chhnang_female_prop,K_Chhnang_total,K_Chhnang_total_prop,K_S_male,K_S_prop_male,K_S_female,K_S_female_prop,K_S_total,K_S_total_prop,K_T_male,K_T_prop_male,K_T_female,K_T_female_prop,K_T_total,K_T_total_prop,Kam_male,Kam_prop_male,Kam_female,Kam_female_prop,Kam_total,Kam_total_prop,Kan_male,Kan_prop_male,Kan_female,Kan_female_prop,Kan_total,Kan_total_prop,K_K_male,K_K_prop_male,K_K_female,K_K_female_prop,K_K_total,K_K_total_prop,Krat_male,Krat_prop_male,Krat_female,Krat_female_prop,Krat_total,Krat_total_prop,MK_male,MK_prop_male,MK_female,MK_female_prop,MK_total,MK_total_prop,PP_male,PP_prop_male,PP_female,PP_female_prop,PP_total,PP_total_prop,P_Vih_male,P_Vih_prop_male,P_Vih_female,P_Vih_female_prop,P_Vih_total,P_Vih_total_prop,P_Ve_male,P_Ve_prop_male,P_Ve_female,P_Ve_female_prop,P_Ve_total,P_Ve_total_prop,Pur_male,Pur_prop_male,Pur_female,Pur_female_prop,Pur_total,Pur_total_prop,R_K_male,R_K_prop_male,R_K_female,R_K_female_prop,R_K_total,R_K_total_prop,S_R_male,S_R_prop_male,S_R_female,S_R_female_prop,S_R_total,S_R_total_prop,Pr_Sih_male,Pr_Sih_prop_male,Pr_Sih_female,Pr_Sih_female_prop,Pr_Sih_total,Pr_Sih_total_prop,St_Tr_male,St_Tr_prop_male,St_Tr_female,St_Tr_female_prop,St_Tr_total,St_Tr_total_prop,Sv_Ri_male,Sv_Ri_prop_male,Sv_Ri_female,Sv_Ri_female_prop,Sv_Ri_total,Sv_Ri_total_prop,Tak_male,Tak_prop_male,Tak_female,Tak_female_prop,Tak_total,Tak_total_prop,O_M_male,O_M_prop_male,O_M_female,O_M_female_prop,O_M_total,O_M_total_prop,Kep_male,Kep_prop_male,Kep_female,Kep_female_prop,Kep_total,Kep_total,Pail_male,Pail_prop_male,Pail_female,Pail_female_prop,Pail_total,Pail_total_prop,Th_Kh_male,Th_Kh_prop_male,Th_Kh_female,Th_Kh_female_prop,Th_Kh_total,Th_Kh_total_prop
0 - 4 years,47961,0.112556211,46985,0.108399541,94946,0.110460639,50237,0.109472984,54391,0.102916543,104628,0.105962921,48399,0.112954962,48874,0.104591194,97273,0.108592218,25922,0.102907062,26448,0.096514206,52370,0.099576179,46034,0.108560548,45162,0.100766943,91196,0.10455619,37864,0.115787615,36488,0.104178351,74352,0.10978354,30602,0.109082891,33171,0.106213448,63773,0.107570756,63960,0.110251005,59762,0.097107837,123722,0.103485598,6408,0.10285797,5986,0.097635259,12394,0.100262913,23326,0.125794175,22209,0.118513198,45535,0.12213505,4654,0.102213826,4555,0.105654688,9209,0.103880429,103024,0.099138667,98471,0.090325108,201495,0.094626491,17902,0.141380237,16852,0.135110327,34754,0.138267145,57807,0.11530345,60172,0.108207801,117979,0.111571768,26288,0.131182988,24761,0.117146659,51049,0.12397756,10991,0.107411919,11476,0.112843117,22467,0.110118858,53761,0.109365711,52087,0.101149978,105848,0.105162968,18430,0.120258028,16380,0.10946895,34810,0.11492659,10551,0.126975484,9900,0.129465485,20451,0.128167205,25998,0.104222467,28210,0.10254277,54208,0.103341321,47580,0.109973119,44228,0.094740406,91808,0.102067067,15446,0.114966374,15243,0.120119897,30689,0.117468957,2251,0.109174782,2022,0.095455383,4273,0.102222435,4368,0.120818916,4002,0.112891766,8370,0.116899441,47644,0.126307821,47087,0.118282225,94731,0.122187196
5 - 9 years,37668,0.088401333,35011,0.080774448,72679,0.084555102,43999,0.095878986,45606,0.08629436,89605,0.090748246,41984,0.097982614,41786,0.089423474,83770,0.093517936,23144,0.09188015,22324,0.081463591,45468,0.086452734,36339,0.085697302,34721,0.077471482,71060,0.081470271,29955,0.091603375,28137,0.080334609,58092,0.085775035,22593,0.080533659,23685,0.075837753,46278,0.078060613,52751,0.090929296,42332,0.068785568,95083,0.079530893,5823,0.093466464,4889,0.079742294,10712,0.08665615,17933,0.096711119,18455,0.098481674,36388,0.097600751,4693,0.103061571,4553,0.105605259,9246,0.1042978,79919,0.076905079,76585,0.070249646,156504,0.073497726,13407,0.105882609,12135,0.097290049,25542,0.101617639,44346,0.0884544,45200,0.081282334,89546,0.084682914,19431,0.096965057,19396,0.091763549,38827,0.094295221,10523,0.102840992,10006,0.098390117,20529,0.100620022,48670,0.099009453,45329,0.088027073,93999,0.093390653,12930,0.084366738,12806,0.085583809,25736,0.084968421,8465,0.101873569,7415,0.096964813,15880,0.099520572,22610,0.090642533,20916,0.076027338,43526,0.082977316,36170,0.083600866,33655,0.072092083,69825,0.077627581,12280,0.091405419,11098,0.087453235,23378,0.089484482,1734,0.084106053,1764,0.083287242,3498,0.083682209,3328,0.092062493,3240,0.091392332,6568,0.091731844,41319,0.109539323,41044,0.103102764,82363,0.106234538
10 -14 years,33516,0.078656853,35987,0.083026519,69503,0.080860128,44374,0.096695486,48615,0.091988041,92989,0.094175422,46022,0.107407198,45796,0.098005947,91818,0.102502445,24749,0.098253173,24234,0.088434508,48983,0.093136146,43771,0.103222891,41183,0.091889551,84954,0.097399739,32598,0.099683236,34561,0.098674986,67159,0.099162803,22897,0.081617215,23275,0.074527156,46172,0.077881814,52182,0.089949029,45564,0.074037057,97746,0.081758323,5664,0.090905144,6313,0.102965078,11977,0.096889536,19086,0.102928225,17512,0.093448854,36598,0.098164018,6282,0.137964443,5147,0.119371262,11429,0.12892273,77393,0.074473978,71430,0.065521692,148823,0.069890559,13082,0.103310739,12974,0.104016522,26056,0.103662564,51452,0.10262738,46130,0.082956262,97582,0.092282493,19553,0.097571801,18741,0.088667396,38294,0.093000777,12804,0.125130354,12663,0.124515238,25467,0.124822938,52424,0.106647218,49995,0.097087505,102419,0.10175616,12593,0.082167154,11690,0.078124892,24283,0.080171284,8714,0.104875188,7629,0.099763914,16343,0.10242221,23879,0.095726785,20160,0.073281812,44039,0.083955291,35770,0.082676722,39912,0.085494503,75682,0.08413907,12137,0.090341956,11641,0.09172995,23778,0.091015571,2150,0.104282186,1902,0.089786136,4052,0.09693548,3192,0.088287722,3393,0.095708008,6585,0.091969274,33693,0.0893216,33216,0.083438959,66909,0.086301455
15 - 19 years,43302,0.1016235,34535,0.079675588,77837,0.090555945,42819,0.093306934,52450,0.099244071,95269,0.096484512,51019,0.119068785,49910,0.106808675,100929,0.112673651,27471,0.109057102,27858,0.101659487,55329,0.105202413,42455,0.100120333,38630,0.08619389,81085,0.092963931,32549,0.099533023,29659,0.084681215,62208,0.091852464,27841,0.099240342,27983,0.089601921,55824,0.094162575,46055,0.079386695,51318,0.083386811,97373,0.081446333,6122,0.098256277,5855,0.095497474,11977,0.096889536,19271,0.103924221,19039,0.10159913,38310,0.102755985,5289,0.116165286,4905,0.11376106,10194,0.11499154,76428,0.073545719,67924,0.06230565,144352,0.067790879,13816,0.109108346,12289,0.098523475,26105,0.103857508,56966,0.113626974,49089,0.0882768,106055,0.10029534,19348,0.096549702,19141,0.090558642,38489,0.093474354,10963,0.107139028,10613,0.104358601,21576,0.105751746,54654,0.111182633,50523,0.098114305,105177,0.104496311,11715,0.076442596,10247,0.068479502,21962,0.072508411,7993,0.096191434,6911,0.09037703,14904,0.093403942,21784,0.087328215,19659,0.071460706,41443,0.079006316,40685,0.094037665,38288,0.082015065,78973,0.087797823,12831,0.095502,11575,0.091209306,24406,0.093419381,2085,0.101160244,1996,0.094210914,4081,0.097629243,3477,0.096178043,3022,0.085260914,6499,0.090768156,34157,0.090551696,33548,0.084271578,67705,0.087328162
20 - 24 years,40877,0.095930934,35543,0.082000917,76420,0.0889074,45239,0.09857996,42329,0.080092598,87568,0.088685257,50976,0.118969579,47195,0.100998053,98171,0.109594715,28354,0.112563703,24192,0.088280418,52546,0.099910824,40229,0.09487208,39739,0.088666796,79968,0.091683291,36088,0.110356241,34077,0.097295389,70165,0.103601276,28503,0.101600217,27991,0.089625117,56494,0.095292715,50717,0.087422893,55513,0.090204176,106230,0.088854651,6957,0.111656175,6531,0.106523172,13488,0.109112972,18152,0.097890587,17004,0.090740408,35156,0.094296252,4468,0.098120428,4777,0.110795314,9245,0.10428652,84846,0.081646489,71923,0.065973302,156769,0.073622176,12431,0.098174262,12225,0.098014328,24656,0.09809273,46241,0.092233226,52400,0.094230879,98641,0.093283981,17059,0.085127437,16826,0.079607719,33885,0.082293083,9501,0.092851226,9782,0.096186224,19283,0.094512927,46320,0.094229944,47684,0.09260015,94004,0.093395621,13481,0.087962212,13387,0.08946549,26868,0.088705763,8637,0.1039398,7200,0.094151576,15837,0.099251089,24682,0.098947124,23023,0.083687694,47705,0.090944099,45043,0.104108824,43451,0.093075918,88494,0.098382745,15957,0.118770876,12259,0.096601685,28216,0.108003001,2241,0.108708821,2070,0.097713864,4311,0.103131504,3344,0.092508126,3420,0.096471145,6764,0.094469274,36299,0.096231312,35262,0.088578909,71561,0.092301759
25 - 29 years,38037,0.089266405,44167,0.101898546,82204,0.095636534,50687,0.110451828,51219,0.096914838,101906,0.103206192,33642,0.078514864,33491,0.071672425,67133,0.074944963,26745,0.106176294,28317,0.103331033,55062,0.10469474,45236,0.106678233,47387,0.105730989,92623,0.106192245,28942,0.088504251,35978,0.102721136,64920,0.095856835,29576,0.105426252,34716,0.111160081,64292,0.108446193,71389,0.123057504,64124,0.104196641,135513,0.113348021,6418,0.103017148,6132,0.100007321,12550,0.101524896,15843,0.085440649,15814,0.084385786,31657,0.084911151,4234,0.092985516,3975,0.09218526,8209,0.092600113,111170,0.106977174,110611,0.101461377,221781,0.104153243,12148,0.09593659,12874,0.103213361,25022,0.099548843,45610,0.090974676,49429,0.088887821,95039,0.089877599,21391,0.106746263,19928,0.094280126,41319,0.10034729,9842,0.096184396,9937,0.097709086,19779,0.096944002,45876,0.093326404,50203,0.097491889,96079,0.095457192,17952,0.117134901,16896,0.112914721,34848,0.115052049,8088,0.097336237,8285,0.108344996,16373,0.102610222,24902,0.099830525,28705,0.104339225,53607,0.102195584,51462,0.11894736,48537,0.103969381,99999,0.111173369,14889,0.110824858,14131,0.111350772,29020,0.111080489,2048,0.099342994,1867,0.088126844,3915,0.093658046,4039,0.111722764,3980,0.112260204,8019,0.111997207,38974,0.103323511,37474,0.094134076,76448,0.098605174
30 - 34 years,40872,0.09592099,38708,0.089303016,79580,0.092583759,40625,0.088525717,43660,0.082610774,84285,0.08536037,31805,0.074227602,35317,0.075579149,67122,0.074932683,21046,0.083550623,25252,0.092149428,46298,0.088030894,38907,0.091752607,40506,0.090378457,79413,0.091046984,25366,0.077567714,23985,0.068481592,49351,0.072868618,26944,0.096045165,23036,0.073761674,49980,0.084305057,48092,0.082898074,49464,0.080374304,97556,0.0815994,5317,0.085333912,5243,0.085511384,10560,0.085426526,12781,0.0689281,13369,0.071342352,26150,0.070140146,3346,0.073487381,3156,0.073204488,6502,0.073344614,100095,0.096320157,120986,0.110978258,221081,0.103824508,8958,0.07074824,8712,0.069846324,17670,0.070299259,34994,0.069800221,38852,0.069868097,73846,0.069835554,17641,0.08803085,20468,0.096834832,38109,0.092551486,7750,0.07573705,7165,0.070448913,14915,0.073103786,45042,0.091629561,43269,0.084026097,88311,0.087739465,15482,0.101018718,13556,0.090593323,29038,0.095870104,6688,0.080485285,5131,0.0670936,11819,0.074070128,24891,0.099786668,25954,0.094340088,50845,0.096930148,36815,0.085091551,37311,0.07992364,74126,0.082409195,11526,0.085788536,11337,0.089334989,22863,0.087513206,1655,0.080285168,2109,0.099557522,3764,0.090045693,3086,0.085351788,2816,0.079445278,5902,0.082430168,30586,0.08108717,31890,0.080108481,62476,0.080583624
35 - 39 years,31912,0.074893295,31571,0.072839028,63483,0.073856431,33711,0.073459474,37218,0.070421596,70929,0.071833964,21667,0.050565961,25124,0.053766451,46791,0.052235857,16038,0.063669092,18219,0.066483321,34257,0.065136169,33805,0.079721736,38002,0.084792196,71807,0.082326707,24696,0.075520078,27549,0.078657059,52245,0.077141718,22338,0.079625341,25643,0.082106582,47981,0.080933192,43634,0.075213511,49628,0.080641036,93262,0.078007742,4396,0.070559294,4188,0.068306611,8584,0.069441411,11655,0.06285253,12027,0.064179685,23682,0.063520418,3266,0.071719227,2512,0.058252187,5778,0.065177665,105384,0.101409799,112068,0.102797605,217452,0.10212025,7964,0.06289459,7951,0.063743734,15915,0.063317075,34142,0.068099908,39999,0.071929356,74141,0.070114533,17739,0.088523575,18230,0.086246144,35969,0.087354284,9105,0.088982018,8279,0.081402168,17384,0.085205244,35478,0.072172944,40174,0.078016246,75652,0.075162392,12612,0.082294053,11464,0.076616502,24076,0.079487865,5529,0.066538225,5121,0.066966368,10650,0.06674396,19675,0.07887639,20237,0.073559138,39912,0.07608764,34670,0.080133318,41175,0.088200942,75845,0.084320285,8849,0.065867322,7790,0.06138387,16639,0.063689465,1621,0.078654303,1566,0.073930678,3187,0.076242195,2580,0.071379889,2482,0.070024473,5062,0.070698324,26107,0.069212018,27330,0.068652861,53437,0.068924821
40 - 44 years,21384,0.050184076,21449,0.04948649,42833,0.049832121,20780,0.045281493,24937,0.047184835,45717,0.046300291,23583,0.055038019,27728,0.059338153,51311,0.057281829,10809,0.042910012,13628,0.049731012,24437,0.046464447,25690,0.06058446,22507,0.050219371,48197,0.055257848,17721,0.054189879,19885,0.056773796,37606,0.055526681,13259,0.047261756,13081,0.041884012,26340,0.044429676,29197,0.050328663,33313,0.054130978,62510,0.052285646,2876,0.046161638,2684,0.043780657,5560,0.04497836,9702,0.052321193,11081,0.059131901,20783,0.055744652,2195,0.048200358,2441,0.056621027,4636,0.052295544,64180,0.061759121,67711,0.062110331,131891,0.061938919,7203,0.056886293,6819,0.054672317,14022,0.055785864,27733,0.055317371,30906,0.055578909,58639,0.055454419,7315,0.036502384,7239,0.034248325,14554,0.035345833,5020,0.049061937,4873,0.047918125,9893,0.048489156,26295,0.053491915,24297,0.047184315,50592,0.050264577,6504,0.042440692,7587,0.05070403,14091,0.046521993,3984,0.047942146,4206,0.055006574,8190,0.051327045,11932,0.047832066,16383,0.059551102,28315,0.053979293,20740,0.047936949,17950,0.038450615,38690,0.043013407,5859,0.043609484,5608,0.044195197,11467,0.043892487,1192,0.057825824,1069,0.050470133,2261,0.054089615,1549,0.04285939,1732,0.048867135,3281,0.045824022,18826,0.049908982,20239,0.05084005,39065,0.050387337
45 - 49 years,19462,0.045674768,19951,0.046029218,39413,0.045853276,16611,0.036196546,22014,0.041654692,38625,0.039117806,19728,0.046041383,24473,0.052372126,44201,0.04934447,12430,0.049344176,12540,0.045761508,24970,0.047477892,17646,0.04161391,18626,0.041558501,36272,0.041585838,15478,0.047330167,17280,0.049337493,32758,0.048368426,12079,0.043056038,15995,0.051214767,28074,0.047354545,28478,0.049089645,34293,0.055723527,62771,0.052503956,2746,0.044077853,3156,0.051467897,5902,0.047745015,9321,0.050266298,9391,0.050113725,18712,0.050189767,2157,0.047376835,2443,0.056670456,4600,0.051889453,54996,0.05292162,60026,0.055060254,115022,0.054016865,4706,0.037161352,4995,0.040043313,9701,0.03859497,23360,0.046594925,27908,0.050186309,51268,0.048483725,7159,0.035724611,8412,0.039796234,15571,0.037815718,4503,0.044003704,4956,0.048731579,9459,0.046361965,22903,0.046592336,24395,0.047374394,47298,0.046991895,6701,0.043723783,7740,0.051728075,14441,0.047677532,3405,0.040975596,3737,0.048871171,7142,0.044759189,12136,0.048652814,14143,0.051410048,26279,0.050097893,19531,0.045142419,26464,0.056688515,45995,0.051134702,5597,0.041662298,5758,0.045370363,11355,0.043463782,865,0.041936536,1028,0.048534292,1893,0.045285998,1539,0.042571039,1580,0.044577774,3119,0.043561453,17578,0.046599439,19665,0.049397717,37243,0.048037261
