Province,Male rural,Female rural,Total rural,Male urban,Female urban,Total urban,Total,Male rural%,Female rural%,Total rural%,Male urban%,Female urban%,Total urban%,
BanteayMeanchey,242024,254452,496476,89691,91705,181396,677872,0.730,0.735,0.732,0.270,0.265,0.268,
Battambang,418953,425368,844321,87398,93455,180853,1025174,0.827,0.820,0.824,0.173,0.180,0.176,
KampongCham,761048,800702,1561750,57614,60628,118242,1679992,0.930,0.930,0.930,0.070,0.070,0.070,
KampongChhnang,206219,222992,429211,20788,22342,43130,472341,0.908,0.909,0.909,0.092,0.091,0.091,
KampongSpeu,322079,340360,662439,26433,28072,54505,716944,0.924,0.924,0.924,0.076,0.076,0.076,
KampongThom,292394,307144,599538,15330,16541,31871,631409,0.950,0.949,0.950,0.050,0.051,0.050,
Kampot,260532,277044,537576,23591,24683,48274,585850,0.917,0.918,0.918,0.083,0.082,0.082,
Kandal,520123,549259,1069382,92569,103329,195898,1265280,0.849,0.842,0.845,0.151,0.158,0.155,
KohKong,41329,40099,81428,17998,18055,36053,117481,0.697,0.690,0.693,0.303,0.310,0.307,
Kratie,141259,141994,283253,17887,18077,35964,319217,0.888,0.887,0.887,0.112,0.113,0.113,
MondulKiri,28776,27472,56248,2596,2263,4859,61107,0.917,0.924,0.920,0.083,0.076,0.080,
PhnomPenh,40877,43746,84623,584663,658329,1242992,1327615,0.065,0.062,0.064,0.935,0.938,0.936,
PreahVihear,79811,80649,160460,5508,5171,10679,171139,0.935,0.940,0.938,0.065,0.060,0.062,
PreyVeng,436922,477371,914293,16160,16919,33079,947372,0.964,0.966,0.965,0.036,0.034,0.035,
Pursat,180927,190584,371511,12027,13623,25650,397161,0.938,0.933,0.935,0.062,0.067,0.065,
RatanakKiri,65979,65170,131149,10136,9181,19317,150466,0.867,0.877,0.872,0.133,0.123,0.128,
SiemReap,352941,369237,722178,87041,87224,174265,896443,0.802,0.809,0.806,0.198,0.191,0.194,
PreahSihanouk,66499,65450,131949,44278,45169,89447,221396,0.600,0.592,0.596,0.400,0.408,0.404,
StungTreng,47008,47641,94649,8626,8396,17022,111671,0.845,0.850,0.848,0.155,0.150,0.152,
SvayRieng,223319,242440,465759,8259,8770,17029,482788,0.964,0.965,0.965,0.036,0.035,0.035,
Takeo,403673,426777,830450,7109,7347,14456,844906,0.983,0.983,0.983,0.017,0.017,0.017,
OtdarMeanchey,84171,82954,167125,9475,9219,18694,185819,0.899,0.900,0.899,0.101,0.100,0.101,
Kep,15302,15773,31075,2372,2306,4678,35753,0.866,0.872,0.869,0.134,0.128,0.131,
Pailin,28319,26493,54812,8021,7653,15674,70486,0.779,0.776,0.778,0.221,0.224,0.222,
